device mps

=== c=0.9  (L2 kept in every row, l2_lambda=0.003) ===
  L2 (baseline)          acc=0.356
  oracle (ceiling)       acc=0.569@4.6  (+0.213)
  learned critic         acc=0.458@1.5  (+0.102)
  soft_ln(λ=10)          acc=0.455@17.0  (+0.100)
  soft_ln(λ=30)          acc=0.443@18.0  (+0.087)
  soft_ln(λ=100)         acc=0.433@18.4  (+0.077)
  ellipsoid(λ=10)        acc=0.393@5.6  (+0.037)
  ellipsoid(λ=30)        acc=0.406@4.8  (+0.050)
  ellipsoid(λ=100)       acc=0.436@4.1  (+0.081)
  decorrelation(λ=30)    acc=0.375@4.9  (+0.019)
  decorrelation(λ=100)   acc=0.337@4.9  (-0.019)
  decorrelation(λ=300)   acc=0.232@4.2  (-0.123)
  vicreg(λ=10)           acc=0.502@10.4  (+0.146)
  vicreg(λ=30)           acc=0.514@13.2  (+0.158)
  vicreg(λ=100)          acc=0.498@14.4  (+0.142)
  log_det(λ=0.03)        acc=0.372@7.9  (+0.017)
  log_det(λ=0.1)         acc=0.169@13.5  (-0.186)
  log_det(λ=0.3)         acc=0.208@11.5  (-0.148)
  uniformity(λ=0.1)      acc=0.188@10.1  (-0.168)
  uniformity(λ=0.3)      acc=0.155@20.7  (-0.200)
  uniformity(λ=1.0)      acc=0.130@27.4  (-0.226)

=== c=0.6  (L2 kept in every row, l2_lambda=0.01) ===
  L2 (baseline)          acc=0.800
  oracle (ceiling)       acc=0.830@5.9  (+0.030)
  learned critic         acc=0.762@1.7  (-0.038)
  soft_ln(λ=10)          acc=0.756@10.3  (-0.043)
  soft_ln(λ=30)          acc=0.725@13.2  (-0.075)
  soft_ln(λ=100)         acc=0.707@15.0  (-0.093)
  ellipsoid(λ=10)        acc=0.792@6.2  (-0.008)
  ellipsoid(λ=30)        acc=0.786@5.8  (-0.014)
  ellipsoid(λ=100)       acc=0.767@5.0  (-0.033)
  decorrelation(λ=30)    acc=0.796@7.4  (-0.003)
  decorrelation(λ=100)   acc=0.745@6.3  (-0.055)
  decorrelation(λ=300)   acc=0.629@5.1  (-0.171)
  vicreg(λ=10)           acc=0.781@7.8  (-0.019)
  vicreg(λ=30)           acc=0.774@10.6  (-0.026)
  vicreg(λ=100)          acc=0.768@14.1  (-0.032)
  log_det(λ=0.03)        acc=0.814@7.9  (+0.014)
  log_det(λ=0.1)         acc=0.791@10.6  (-0.009)
  log_det(λ=0.3)         acc=0.309@10.3  (-0.491)
  uniformity(λ=0.1)      acc=0.816@8.3  (+0.016)
  uniformity(λ=0.3)      acc=0.752@12.2  (-0.048)
  uniformity(λ=1.0)      acc=0.223@20.8  (-0.577)
